epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2755.17,0.68469,0.48032,1.104,0.91485,0.85231,0.91925,0.71429,0.86947,0.5868,1.15524,0.0008714,0.0008714,0.0008714
59,2802.63,0.67982,0.46688,1.09985,0.89451,0.88434,0.92498,0.71117,0.88997,0.56706,1.17719,0.0008516,0.0008516,0.0008516
60,2850.12,0.67296,0.46901,1.09871,0.93715,0.84905,0.91551,0.71482,0.86935,0.55675,1.16624,0.0008318,0.0008318,0.0008318
61,2897.62,0.66776,0.45822,1.09247,0.9097,0.87838,0.91748,0.71071,0.87816,0.57281,1.17606,0.000812,0.000812,0.000812
62,2945.08,0.67021,0.45483,1.08868,0.91653,0.85409,0.91679,0.71021,0.86656,0.56243,1.16502,0.0007922,0.0007922,0.0007922
63,2992.55,0.66894,0.45483,1.09555,0.94934,0.83986,0.92081,0.71368,0.87577,0.54458,1.16494,0.0007724,0.0007724,0.0007724
64,3039.97,0.65816,0.43511,1.09039,0.93147,0.8452,0.90583,0.70972,0.86605,0.56402,1.15933,0.0007526,0.0007526,0.0007526
65,3087.41,0.65405,0.44584,1.09262,0.93238,0.87367,0.92017,0.72123,0.85365,0.54539,1.16021,0.0007328,0.0007328,0.0007328
66,3134.88,0.65482,0.43464,1.08642,0.94071,0.87512,0.92699,0.7217,0.8612,0.55746,1.15843,0.000713,0.000713,0.000713
67,3182.46,0.64346,0.43618,1.07981,0.94281,0.84698,0.91838,0.72012,0.86821,0.54777,1.16089,0.0006932,0.0006932,0.0006932
68,3229.87,0.65047,0.43949,1.08079,0.93062,0.85409,0.91263,0.71202,0.86853,0.55345,1.16265,0.0006734,0.0006734,0.0006734
69,3277.33,0.64848,0.42659,1.07968,0.91879,0.87189,0.9189,0.72093,0.86884,0.54777,1.16408,0.0006536,0.0006536,0.0006536
70,3324.81,0.64603,0.42704,1.07673,0.93733,0.85161,0.91924,0.71647,0.86683,0.56299,1.16913,0.0006338,0.0006338,0.0006338
71,3372.25,0.64943,0.42694,1.08393,0.92483,0.87367,0.91666,0.71658,0.85564,0.54844,1.16305,0.000614,0.000614,0.000614
72,3419.72,0.64187,0.42217,1.07599,0.92087,0.87011,0.91399,0.71325,0.85533,0.54192,1.17221,0.0005942,0.0005942,0.0005942
73,3467.15,0.63665,0.4187,1.07465,0.93065,0.85964,0.91787,0.71179,0.85484,0.53147,1.15377,0.0005744,0.0005744,0.0005744
74,3514.6,0.62484,0.40672,1.0684,0.92488,0.85765,0.9172,0.71645,0.86329,0.54952,1.16182,0.0005546,0.0005546,0.0005546
75,3562.05,0.63542,0.41163,1.06811,0.92503,0.87011,0.91167,0.7117,0.85725,0.55323,1.17254,0.0005348,0.0005348,0.0005348
76,3609.52,0.61967,0.41105,1.06437,0.9172,0.86833,0.92254,0.7075,0.86814,0.5639,1.16087,0.000515,0.000515,0.000515
77,3656.99,0.61977,0.41578,1.06266,0.90858,0.87544,0.91475,0.71577,0.86244,0.54385,1.1689,0.0004952,0.0004952,0.0004952
78,3704.41,0.62052,0.39786,1.06411,0.91015,0.88078,0.93039,0.72445,0.85542,0.51993,1.14221,0.0004754,0.0004754,0.0004754
79,3751.89,0.60805,0.40572,1.0627,0.91939,0.87011,0.92005,0.71808,0.86172,0.52487,1.16282,0.0004556,0.0004556,0.0004556
80,3799.3,0.6106,0.39782,1.06057,0.92601,0.86849,0.92269,0.71515,0.85526,0.52846,1.15216,0.0004358,0.0004358,0.0004358
81,3846.75,0.61135,0.39766,1.05342,0.90277,0.89218,0.91867,0.71642,0.84796,0.5225,1.15226,0.000416,0.000416,0.000416
82,3894.21,0.61729,0.3982,1.06166,0.92455,0.87213,0.9254,0.72108,0.85894,0.53206,1.15637,0.0003962,0.0003962,0.0003962
83,3941.62,0.59328,0.38736,1.05121,0.90773,0.88612,0.92475,0.72285,0.85485,0.53374,1.15413,0.0003764,0.0003764,0.0003764
84,3989.04,0.60053,0.37767,1.05099,0.93637,0.86413,0.92555,0.72068,0.86807,0.55599,1.17307,0.0003566,0.0003566,0.0003566
85,4036.47,0.58976,0.38133,1.05303,0.93664,0.86808,0.92055,0.72494,0.84683,0.54221,1.14877,0.0003368,0.0003368,0.0003368
86,4083.91,0.59811,0.37818,1.05099,0.89795,0.89146,0.91857,0.72421,0.87143,0.55768,1.16747,0.000317,0.000317,0.000317
87,4131.34,0.59093,0.37397,1.0447,0.93258,0.88256,0.92513,0.72654,0.86358,0.54059,1.15946,0.0002972,0.0002972,0.0002972
88,4178.92,0.58563,0.37497,1.04515,0.92915,0.86345,0.92387,0.72609,0.8471,0.53299,1.15087,0.0002774,0.0002774,0.0002774
89,4226.36,0.57374,0.36969,1.04148,0.91718,0.88078,0.91758,0.72994,0.84089,0.53627,1.14582,0.0002576,0.0002576,0.0002576
90,4273.86,0.59138,0.37559,1.04608,0.92966,0.8701,0.92088,0.72537,0.85354,0.52992,1.15266,0.0002378,0.0002378,0.0002378
91,4334.24,0.56299,0.33399,1.01411,0.9335,0.86833,0.92658,0.72362,0.84213,0.52547,1.15346,0.000218,0.000218,0.000218
92,4381.54,0.5568,0.32686,1.00991,0.95689,0.83452,0.9201,0.72373,0.84167,0.54652,1.15347,0.0001982,0.0001982,0.0001982
93,4428.91,0.54573,0.31622,1.00483,0.90683,0.8879,0.92033,0.72194,0.8526,0.53234,1.16076,0.0001784,0.0001784,0.0001784
94,4476.26,0.54413,0.31809,1.00145,0.91573,0.88941,0.92407,0.72399,0.84676,0.53296,1.15532,0.0001586,0.0001586,0.0001586
95,4523.59,0.53307,0.3071,1.00069,0.9238,0.8844,0.92215,0.72576,0.84421,0.52486,1.16256,0.0001388,0.0001388,0.0001388
96,4570.95,0.53495,0.30581,0.99459,0.92991,0.86833,0.9208,0.72285,0.84161,0.52784,1.15652,0.000119,0.000119,0.000119
97,4618.33,0.5279,0.30355,0.99395,0.91774,0.88612,0.92362,0.72398,0.84276,0.52306,1.15364,9.92e-05,9.92e-05,9.92e-05
98,4665.64,0.52413,0.29961,0.99654,0.91074,0.8968,0.92563,0.7271,0.8432,0.52665,1.15649,7.94e-05,7.94e-05,7.94e-05
99,4712.99,0.52267,0.29047,0.98574,0.92446,0.89276,0.92809,0.72981,0.8366,0.52366,1.14817,5.96e-05,5.96e-05,5.96e-05
100,4760.41,0.52123,0.29431,0.9901,0.91484,0.89839,0.93005,0.73256,0.83401,0.51845,1.14713,3.98e-05,3.98e-05,3.98e-05
